PLZ,Ortsname,Ortsteil,Landkreis,Bundesland,location,geometry,address,latitude,longitude
80331,München,AltstadtIsarvorstadtLehelLudwigsvorstadt,Stadt München,Bayern,"Bayern, München, 80331",POINT (11.57344366404696 48.13605694135037),"Altstadt-Lehel, München, Bayern, 80331, Deutschland",48.13605694135037,11.57344366404696
80333,München,AltstadtMaxvorstadtSchwabing-West,Stadt München,Bayern,"Bayern, München, 80333",POINT (11.56922928152168 48.14551362409741),"Maxvorstadt, München, Bayern, 80333, Deutschland",48.14551362409741,11.569229281521682
80335,München,AltstadtLudwigsvorstadtMaxvorstadtNeuhausen,Stadt München,Bayern,"Bayern, München, 80335",POINT (11.55581870221503 48.14572403791928),"Maxvorstadt, München, Bayern, 80335, Deutschland",48.14572403791928,11.555818702215028
80336,München,AltstadtIsarvorstadtLudwigsvorstadtSendling,Stadt München,Bayern,"Bayern, München, 80336",POINT (11.55672254679923 48.13409790672435),"Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80336, Deutschland",48.13409790672435,11.556722546799227
80337,München,IsarvorstadtLudwigsvorstadtSendling,Stadt München,Bayern,"Bayern, München, 80337",POINT (11.55794568730417 48.12722339835911),"Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80337, Deutschland",48.12722339835911,11.557945687304173
80339,München,LudwigsvorstadtSchwanthalerhöhe,Stadt München,Bayern,"Bayern, München, 80339",POINT (11.53853591157109 48.13628822063581),"Schwanthalerhöhe, München, Bayern, 80339, Deutschland",48.13628822063581,11.538535911571088
80469,München,AltstadtIsarvorstadt,Stadt München,Bayern,"Bayern, München, 80469",POINT (11.57228005508853 48.12923332673665),"Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80469, Deutschland",48.129233326736646,11.572280055088527
80538,München,BogenhausenHaidhausenIsarvorstadtLehelSchwabing,Stadt München,Bayern,"Bayern, München, 80538",POINT (11.59041456568399 48.14227337459008),"Altstadt-Lehel, München, Bayern, 80538, Deutschland",48.14227337459008,11.59041456568399
80539,München,AltstadtLehelMaxvorstadtSchwabing,Stadt München,Bayern,"Bayern, München, 80539",POINT (11.582513841596 48.14516484952971),"Maxvorstadt, München, Bayern, 80539, Deutschland",48.14516484952971,11.582513841595995
80634,München,Neuhausen,Stadt München,Bayern,"Bayern, München, 80634",POINT (11.53122492171725 48.15058420541417),"Neuhausen-Nymphenburg, München, Bayern, 80634, Deutschland",48.15058420541417,11.531224921717254
80636,München,MaxvorstadtNeuhausen,Stadt München,Bayern,"Bayern, München, 80636",POINT (11.54210125953346 48.15159367857738),"Neuhausen-Nymphenburg, München, Bayern, 80636, Deutschland",48.15159367857738,11.542101259533464
80637,München,MilbertshofenMoosachNeuhausen,Stadt München,Bayern,"Bayern, München, 80637",POINT (11.53612899254859 48.16223188058863),"Neuhausen-Nymphenburg, München, Bayern, 80637, Deutschland",48.16223188058863,11.536128992548592
80638,München,MoosachNeuhausenNymphenburg,Stadt München,Bayern,"Bayern, München, 80638",POINT (11.51778132666191 48.16327687059776),"Neuhausen-Nymphenburg, München, Bayern, 80638, Deutschland",48.163276870597755,11.517781326661908
80639,München,LaimNeuhausenNymphenburg,Stadt München,Bayern,"Bayern, München, 80639",POINT (11.5132582601667 48.15287761118812),"Neuhausen-Nymphenburg, München, Bayern, 80639, Deutschland",48.152877611188124,11.513258260166698
